Operator,URL,Operator(URL),RxClojure,RxCpp,RxGroovy,RxJava 1․x,RxJava 2․x,RxJS,RxKotlin,RxNET,RxPHP,RxPY,Rxrb,RxScala,RxSwift
concatMapEagerDelayError,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatMapIterable,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatMapObserver,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatMapTo,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatWith,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
Connect,http://reactivex.io/documentation/operators/connect.html,Connect,,connect; connect_forever,connect,connect,connect,connect,connect,Connect,,connect,,connect,
connect_forever,http://reactivex.io/documentation/operators/connect.html,Connect,,connect; connect_forever,connect,connect,connect,connect,connect,Connect,,connect,,connect,
cons,http://reactivex.io/documentation/operators/startwith.html,StartWith,cons,start_with,startWith,startWith,startWith,startWith,startWith,StartWith,startWith; startWithArray,start_with,start_with,+:,startWith
Contains,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
controlled,http://reactivex.io/documentation/operators/backpressure.html,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,Flowable,controlled; pausable; pausableBuffered; stopAndWait; windowed,,,,,,onBackpressureBuffer; onBackpressureDrop; onBackpressureLatest,
Count,http://reactivex.io/documentation/operators/count.html,Count,count; longCount,count,count; countLong,count; countLong,,count,count,Count; LongCount,count,count,count,count; length; longCount; size,
countLong,http://reactivex.io/documentation/operators/count.html,Count,count; longCount,count,count; countLong,count; countLong,,count,count,Count; LongCount,count,count,count,count; length; longCount; size,
Create,http://reactivex.io/documentation/operators/create.html,Create,generator,,create,create,create; generate; unsafeCreate,create; createWithDisposable; generate; generateWithAbsoluteTime; generateWithRelativeTime,create,Create; Generate,create,create; generate; generate_with_relative_time,create; generate,apply; create,create; generate
cycle,http://reactivex.io/documentation/operators/repeat.html,Repeat,cycle,repeat,doWhile; repeat; repeatWhen; whileDo,doWhile; repeat; repeatWhen; whileDo,repeat; repeatUntil; repeatWhen,doWhile; repeat; while,doWhile; repeat; repeatWhen; whileDo,Repeat,repeat; repeatWhen,do_while; repeat; while_do,repeat; repeat_infinitely,repeat; repeatWhen,repeatElement
Debounce,http://reactivex.io/documentation/operators/debounce.html,Debounce,,,debounce; throttleWithTimeout,debounce; throttleWithTimeout,debounce; throttleWithTimeout,debounce; debounceWithSelector; throttleWithTimeout,debounce; throttleWithTimeout,Throttle,throttle,debounce; throttle_with_selector; throttle_with_timeout,,debounce; throttleWithTimeout,debounce; throttle
decode,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
DefaultIfEmpty,http://reactivex.io/documentation/operators/defaultifempty.html,DefaultIfEmpty,,,defaultIfEmpty; switchIfEmpty,defaultIfEmpty; switchIfEmpty,defaultIfEmpty; switchIfEmpty,defaultIfEmpty,defaultIfEmpty,DefaultIfEmpty,defaultIfEmpty,default_if_empty,default_if_empty,orElse; switchIfEmpty,
Defer,http://reactivex.io/documentation/operators/defer.html,Defer,,defer,defer; ifThen; switchCase,defer; ifThen; switchCase,defer,case; defer; if; switchCase,defer; switchCase,Defer,defer,case; defer; if_then; switch_case,defer,defer,defer
deferFuture,http://reactivex.io/documentation/operators/start.html,Start,,,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,fromCallable,start; startAsync; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,Start; ToAsync,start,start; start_async; to_async,,,
Delay,http://reactivex.io/documentation/operators/delay.html,Delay,,,delay; delaySubscription,delay; delaySubscription,delay; delaySubscription,delay; delaySubscription; delayWithSelector,delay; delaySubscription,Delay; DelaySubscription,delay,delay; delay_subscription; delay_with_selector,,delay; delaySubscription,delaySubscription
delaySubscription,http://reactivex.io/documentation/operators/delay.html,Delay,,,delay; delaySubscription,delay; delaySubscription,delay; delaySubscription,delay; delaySubscription; delayWithSelector,delay; delaySubscription,Delay; DelaySubscription,delay,delay; delay_subscription; delay_with_selector,,delay; delaySubscription,delaySubscription
delayWithSelector,http://reactivex.io/documentation/operators/delay.html,Delay,,,delay; delaySubscription,delay; delaySubscription,delay; delaySubscription,delay; delaySubscription; delayWithSelector,delay; delaySubscription,Delay; DelaySubscription,delay,delay; delay_subscription; delay_with_selector,,delay; delaySubscription,delaySubscription
Dematerialize,http://reactivex.io/documentation/operators/materialize-dematerialize.html,Materialize/Dematerialize,,,dematerialize; materialize,dematerialize; materialize,dematerialize; materialize,dematerialize,dematerialize; materialize,dematerialize; materialize,materialize; dematerialize,dematerialize; materialize,dematerialize; materialize,,
Distinct,http://reactivex.io/documentation/operators/distinct.html,Distinct,distinct,distinct_until_changed,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,Distinct; DistinctUntilChanged,distinct; distinctKey; distinctUntilChanged; distinctUntilKeyChanged,distinct; distinct_until_changed,distinct; distinct_until_changed,distinct; distinctUntilChanged,distinctUntilChanged
distinctKey,http://reactivex.io/documentation/operators/distinct.html,Distinct,distinct,distinct_until_changed,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,Distinct; DistinctUntilChanged,distinct; distinctKey; distinctUntilChanged; distinctUntilKeyChanged,distinct; distinct_until_changed,distinct; distinct_until_changed,distinct; distinctUntilChanged,distinctUntilChanged
distinctUntilChanged,http://reactivex.io/documentation/operators/distinct.html,Distinct,distinct,distinct_until_changed,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,Distinct; DistinctUntilChanged,distinct; distinctKey; distinctUntilChanged; distinctUntilKeyChanged,distinct; distinct_until_changed,distinct; distinct_until_changed,distinct; distinctUntilChanged,distinctUntilChanged
distinctUntilKeyChanged,http://reactivex.io/documentation/operators/distinct.html,Distinct,distinct,distinct_until_changed,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,distinct; distinctUntilChanged,Distinct; DistinctUntilChanged,distinct; distinctKey; distinctUntilChanged; distinctUntilKeyChanged,distinct; distinct_until_changed,distinct; distinct_until_changed,distinct; distinctUntilChanged,distinctUntilChanged
Do,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
doAction,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
doAfterTerminate,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
